flit_width, vc_buf_size, mvm_lanes, model, num_inputs, cycles
323, 8, 32, small, 256, 15035
323, 12, 16, small, 1, 539
323, 12, 16, small, 256, 54469
323, 12, 32, small, 1, 239
323, 12, 32, small, 256, 15011
323, 16, 16, small, 1, 529
323, 16, 16, small, 256, 54461
323, 16, 32, small, 1, 213
323, 16, 32, small, 256, 15005
flit_width, vc_buf_size, mvm_lanes, model, num_inputs, cycles
131, 8, 64, small, 1, flit_width, vc_buf_size, mvm_lanes, model, num_inputs, cycles
131, 8, 64, small, 1, flit_width, vc_buf_size, mvm_lanes, model, num_inputs, cycles
195, 8, 64, small, 1, 236
195, 8, 64, small, 256, 8798
195, 16, 64, small, 1, 201
195, 16, 64, small, 256, 8860
323, 8, 64, small, 1, 170
323, 8, 64, small, 256, 6164
323, 16, 64, small, 1, 206
323, 16, 64, small, 256, 6409
flit_width, vc_buf_size, mvm_lanes, model, num_inputs, cycles
195, 8, 64, large, 1, 241
195, 8, 64, large, 256, 13805
195, 12, 64, large, 1, 265
195, 12, 64, large, 256, 13568
195, 16, 64, large, 1, 206
195, 16, 64, large, 256, 13864
323, 8, 64, large, 1, 212
323, 8, 64, large, 256, 13143
323, 12, 64, large, 1, 215
323, 12, 64, large, 256, 13907
323, 16, 64, large, 1, 243
323, 16, 64, large, 256, 13595
flit_width, vc_buf_size, mvm_lanes, model, num_inputs, cycles
195, 8, 64, large, 1, 246
195, 8, 64, large, 256, 13044
195, 12, 64, large, 1, 243
195, 12, 64, large, 256, 13910
195, 16, 64, large, 1, 217
195, 16, 64, large, 256, 13962
323, 8, 64, large, 1, 181
323, 8, 64, large, 256, 14123
323, 12, 64, large, 1, 185
323, 12, 64, large, 256, 13545
323, 16, 64, large, 1, 211
323, 16, 64, large, 256, 13639
flit_width, vc_buf_size, mvm_lanes, model, num_inputs, cycles
131, 8, 64, large, 1, flit_width, vc_buf_size, mvm_lanes, model, num_inputs, cycles
195, 8, 16, small, 1, 602
195, 8, 16, small, 256, 79008
195, 8, 16, large, 1, 804
195, 8, 16, large, 256, 79510
195, 8, 32, small, 1, 244
195, 8, 32, small, 256, 19938
195, 8, 32, large, 1, 288
195, 8, 32, large, 256, 20210
